time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.7843900514e-05,9.67139948525e-07,10.0040522673,0.000150700888395,0.00406548367153,0.0,-0.00105564178498,5.44154651224e-05,0.135067745286,-0.00561853171747,-0.023320062583,0.0,448.5722607934464,446.674941111052,448.38089746615015,447.9243335458915
0.12000000000000001,-0.000200663631955,1.32418598109e-05,10.0160404098,0.00182587983817,0.0125956993421,0.0,-0.00591014977002,0.000517606466968,0.26450911475,0.00876724788685,0.0100193272768,0.0,444.35603680949043,447.0802834917565,446.05322783772993,447.2263004812018
0.18,-0.000826486299954,7.98774394227e-05,10.0325154078,0.00254710830832,0.0241682909302,0.0,-0.0160279689527,0.00176515916353,0.28463443447,0.0125535509579,-0.0274850811044,0.0,412.8420683862597,409.520098878444,410.42363167777177,410.75937390024126
0.23999999999999996,-0.0023401478504,0.000249050694061,10.0547297973,0.00365479973729,0.0246336146283,0.0,-0.034461962355,0.00400728028763,0.455790494762,0.0047220102861,-0.0127110740387,0.0,458.2769666125556,459.4495721601657,459.6463922081724,459.02530749854424
0.3,-0.00497269900652,0.000573279761237,10.0865513787,0.00424522824106,0.0297968801783,0.0,-0.053824455531,0.0068726278505,0.604846533934,-0.00266604924004,0.0127826234406,0.0,451.5351875051526,453.586904066563,452.77187707814016,452.17714587581554
0.36000000000000004,-0.00890941014287,0.00108434168895,10.1285537651,0.00416143279942,0.0320198516988,0.0,-0.0776692243662,0.0101502116169,0.795110727553,-0.000613303081975,-0.00168994729932,0.0,464.57792602915225,463.4418299561814,466.25869959892145,466.41906256070723
0.4200000000000001,-0.0140888155537,0.00176450731824,10.1747716237,0.00565118826156,0.0322944556024,0.0,-0.0950074781562,0.0126311879285,0.745516950297,0.0117744661144,-0.00971340021197,0.0,387.9040813714848,387.15006239213403,386.49724055885923,387.66280760712795
0.48000000000000015,-0.0204801208583,0.00264501692446,10.2228125664,0.00660999327332,0.0360477516508,0.0,-0.118400102367,0.0168249241882,0.855757422088,0.00494238239337,0.0119289712015,0.0,439.4432673275494,441.2334074408249,441.65017416619673,441.0862706976904
0.5400000000000001,-0.0283614242697,0.00380955379807,10.2773485156,0.0107140770501,0.0421110023359,0.0,-0.14495882031,0.0224378022573,0.961993651324,-0.0176665630015,-0.0146312235571,0.0,440.65304230327285,438.4521911403923,440.9960263159025,439.1248016446503
0.6000000000000002,-0.0379138879741,0.0053698927861,10.337745916,0.00973739839176,0.0415372667921,0.0,-0.173391855418,0.0294723958633,1.05117717741,-0.015484610211,-0.00967197471653,0.0,434.0018903097447,434.4179935879763,434.93002502627905,435.1127837945992
0.6600000000000003,-0.0492035547308,0.00734342425502,10.4044248057,0.00913818970177,0.0417496278907,0.0,-0.202960683544,0.0362558668715,1.17133402,-0.0230896849873,-0.0206985721853,0.0,445.54209099252256,444.63987299163654,444.3911378041199,443.76744387532557
0.7200000000000003,-0.0625095955914,0.0097558583795,10.4831983182,0.0085719454374,0.0484340295536,0.0,-0.241465430809,0.0440966654494,1.45408989321,-0.0342766221337,-0.0527629065121,0.0,494.5362632424241,492.16873955742483,493.25696844089555,492.43012540707537
0.7800000000000004,-0.0781586718122,0.0126034382612,10.5768566452,0.00773316238937,0.0466561385952,0.0,-0.279964435518,0.0507075999972,1.66757454092,-0.0233285925881,-0.0669242106412,0.0,474.9721997484183,473.8829246169851,472.91383715124323,473.75603446787034
0.8400000000000004,-0.096102210455,0.0158322176317,10.6840074578,0.00653152440628,0.0438504569268,0.0,-0.317813007761,0.0567764706465,1.90376906638,-0.0295496069427,-0.0802330481956,0.0,481.1302521588708,480.1181425273498,481.7850420631091,481.31443038215565
0.9000000000000005,-0.116157839862,0.0193812122158,10.8031738032,0.00543520506938,0.0424649844356,0.0,-0.350522696586,0.0613904348423,2.06816508068,-0.0216591163925,-0.0611144871308,0.0,459.4083328768607,460.9175959398067,460.70663222559733,461.32990809107537
0.9600000000000005,-0.138093058763,0.0231766467616,10.9311521413,0.00421679004916,0.0388255505454,0.0,-0.380256710951,0.0649909197818,2.19755500926,-0.0195161364468,-0.0601392767488,0.0,451.46165570509254,451.53776454543726,449.35672972461396,449.53042009172
1.0200000000000005,-0.161938149871,0.0271842246469,11.0715382319,0.00361201477922,0.0402010704272,0.0,-0.414770610668,0.0685267176748,2.48139590248,-0.0290458844413,-0.0858244989426,0.0,497.62660318938686,495.7398751464136,496.4923550099301,495.79273605121784
1.0800000000000005,-0.187683377501,0.0313673191502,11.2245314984,0.00189148199862,0.0350400676533,0.0,-0.442843237907,0.0707229920361,2.61809889145,-0.0282195035819,-0.0867855537362,0.0,454.5732092535446,454.4902508813105,454.33502044662595,454.40105486551994
1.1400000000000006,-0.215058269093,0.0356509922681,11.3873437852,0.000859298899945,0.0301611552927,0.0,-0.469088730681,0.0719579864855,2.80854868867,-0.0384062420632,-0.0943757790629,0.0,472.0604845062111,471.4682717629443,471.08730427529906,470.2986692798719
1.2000000000000006,-0.2437487837,0.0399794683421,11.556619578,6.28285306826,0.0254041287058,0.0,-0.486823888068,0.0722065737709,2.83393125198,-0.0279882947331,-0.0850833239854,0.0,419.8990191601186,420.69686260963704,420.3057227725364,421.2070530223346
1.2600000000000007,-0.273570701244,0.0442968942618,11.7320389777,6.28116324971,0.0306355780016,0.0,-0.507784523862,0.0715176014052,3.01290491218,-0.0296100835438,-0.0510443817239,0.0,467.79630399603,470.43539149886385,468.59353547193035,468.46726789112904
